Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
71,Nick Richards,C,26,CHO,67,1759,16.7,.717,.003,.476,10.7,24.2,17.2,4.5,0.7,3.9,13.8,13.3,,3.8,1.3,5.1,.140,,-1.6,-0.7,-2.3,-0.1,richani01
72,Fred VanVleet,PG,29,HOU,73,2684,16.7,.568,.576,.225,1.3,9.9,5.6,31.1,1.8,2.0,10.1,19.7,,5.3,3.1,8.4,.150,,2.6,0.8,3.4,3.6,vanvlfr01
73,Josh Giddey,SG,21,OKC,80,2011,16.6,.547,.287,.146,6.4,21.5,14.2,26.6,1.2,2.0,15.7,23.1,,1.4,2.9,4.3,.102,,1.0,0.4,1.5,1.8,giddejo01
74,Tobias Harris,PF,31,PHI,70,2368,16.5,.576,.271,.224,3.7,17.7,10.6,13.8,1.5,1.8,8.2,20.7,,3.2,2.7,5.9,.121,,1.0,-0.1,0.9,1.7,harrito02
75,Tyus Jones,PG,27,WAS,66,1933,16.5,.578,.384,.060,1.1,9.0,5.0,34.6,1.7,0.8,8.8,16.3,,3.9,0.7,4.5,.113,,1.5,-0.9,0.7,1.3,jonesty01
76,Obi Toppin,PF,25,IND,82,1730,16.5,.677,.437,.173,5.6,15.4,10.5,9.4,1.3,2.0,10.0,16.8,,3.6,1.1,4.8,.132,,1.8,-0.3,1.5,1.5,toppiob01
77,RJ Barrett,SG,23,TOT,58,1838,16.4,.580,.284,.331,3.1,16.0,9.5,16.7,0.8,1.1,11.1,26.5,,1.6,1.2,2.9,.075,,0.7,-1.5,-0.8,0.6,barrerj01
78,Bradley Beal,SG,30,PHO,53,1767,16.3,.607,.320,.182,3.6,10.8,7.4,22.5,1.4,1.3,14.2,22.7,,2.4,1.5,3.9,.107,,0.9,-0.6,0.4,1.1,bealbr01
79,Jalen Johnson,SF,22,ATL,56,1889,16.3,.584,.285,.209,4.1,24.8,14.1,15.4,1.7,2.2,11.6,19.1,,2.1,1.7,3.8,.098,,0.4,0.8,1.2,1.5,johnsja05
80,Trey Murphy III,SF,23,NOP,57,1690,16.3,.612,.717,.243,2.8,15.5,9.2,10.2,1.5,1.6,4.7,18.6,,3.4,2.0,5.4,.154,,2.5,0.0,2.5,1.9,murphtr02
81,Russell Westbrook,PG,35,LAC,68,1529,16.2,.514,.232,.241,7.1,17.8,12.7,29.2,2.4,1.4,16.4,25.2,,0.2,1.9,2.1,.066,,-0.2,0.7,0.5,1.0,westbru01
82,Cam Thomas,SG,22,BRK,66,2075,16.1,.554,.333,.281,1.4,10.1,5.6,15.7,1.1,0.7,8.5,30.5,,1.3,1.2,2.5,.058,,0.7,-1.9,-1.2,0.4,thomaca02
83,Donte DiVincenzo,SG,27,NYK,81,2360,16.0,.597,.702,.114,3.0,11.2,7.1,13.7,2.3,1.4,9.7,21.3,,3.6,3.0,6.6,.135,,2.5,0.9,3.4,3.2,divindo01
84,Malik Monk,SG,25,SAC,72,1872,16.0,.564,.474,.230,1.6,11.3,6.3,28.9,1.2,1.9,13.2,25.9,,1.9,1.6,3.5,.090,,1.5,-1.0,0.6,1.2,monkma01
85,Naz Reid,C,24,MIN,81,1964,16.0,.595,.479,.174,4.4,19.3,12.2,8.3,1.6,3.3,10.8,23.1,,1.1,3.8,4.9,.120,,0.4,1.1,1.5,1.7,reidna01
86,D'Angelo Russell,PG,27,LAL,76,2484,16.0,.588,.505,.178,1.3,8.9,5.3,27.6,1.3,1.3,11.8,23.0,,3.3,1.8,5.1,.099,,1.7,-0.8,0.9,1.8,russeda01
87,Anfernee Simons,SG,24,POR,46,1582,15.9,.568,.484,.213,1.5,10.9,5.9,27.6,0.7,0.3,12.1,28.0,,1.7,0.5,2.2,.068,,2.7,-2.5,0.2,0.8,simonan01
88,Mike Conley,PG,36,MIN,76,2193,15.8,.627,.629,.174,2.0,9.0,5.6,28.4,2.0,0.7,12.8,16.0,,5.0,3.3,8.2,.180,,2.0,1.4,3.4,3.0,conlemi01
89,Kyle Kuzma,PF,28,WAS,70,2281,15.7,.547,.343,.183,2.8,19.3,10.9,20.7,0.8,1.8,11.9,29.7,,-1.0,1.1,0.2,.004,,0.5,-1.6,-1.1,0.5,kuzmaky01
90,Devin Vassell,SG,23,SAS,68,2248,15.7,.578,.422,.190,1.3,11.3,6.3,19.1,1.5,0.8,8.6,23.5,,2.0,1.6,3.6,.077,,0.9,-0.9,0.0,1.1,vassede01
91,Michael Porter Jr.,SF,25,DEN,81,2565,15.5,.601,.513,.102,4.7,19.3,12.2,6.7,0.8,1.8,7.5,20.7,,3.1,3.1,6.2,.115,,1.2,-1.2,0.1,1.3,portemi01
92,Austin Reaves,SG,25,LAL,82,2629,15.5,.613,.447,.289,2.5,11.9,7.4,23.5,1.2,0.8,14.1,20.3,,3.9,2.0,5.9,.108,,0.9,-0.4,0.4,1.6,reaveau01
93,Miles Bridges,SF,25,CHO,69,2581,15.4,.556,.372,.174,3.0,19.5,11.0,14.6,1.2,1.2,9.6,24.7,,0.7,1.4,2.2,.040,,0.2,-1.3,-1.1,0.6,bridgmi02
94,Jerami Grant,PF,29,POR,54,1830,15.4,.573,.325,.367,2.1,10.0,5.8,13.8,1.2,1.7,10.5,25.7,,1.7,1.0,2.7,.071,,1.0,-1.1,-0.1,0.9,grantje01
95,Payton Pritchard,PG,26,BOS,82,1825,15.3,.597,.602,.088,4.3,11.1,7.8,20.7,1.1,0.3,8.5,17.2,,4.2,1.9,6.1,.160,,1.3,-0.2,1.0,1.4,pritcpa01
96,Rui Hachimura,PF,25,LAL,68,1826,15.0,.628,.343,.198,3.7,13.7,8.9,6.3,1.1,1.2,5.9,18.5,,2.7,1.5,4.1,.108,,0.0,-0.9,-0.9,0.5,hachiru01
97,Al Horford,C,37,BOS,65,1740,15.0,.650,.616,.072,5.3,19.7,12.8,12.3,1.1,3.1,10.0,12.0,,3.5,2.7,6.2,.172,,1.7,2.0,3.6,2.5,horfoal01
98,Deni Avdija,SF,23,WAS,75,2257,14.9,.597,.293,.340,3.9,22.1,12.8,17.8,1.2,1.3,14.8,20.2,,1.7,1.5,3.2,.068,,-0.7,-0.2,-0.9,0.6,avdijde01
99,Mikal Bridges,SF,27,BRK,82,2854,14.9,.560,.457,.245,2.5,12.0,7.1,16.3,1.4,0.9,10.3,24.3,,2.1,2.1,4.2,.070,,0.7,-1.0,-0.4,1.2,bridgmi01
100,Brook Lopez,C,35,MIL,79,2411,14.8,.608,.535,.177,5.4,13.0,9.3,7.1,0.9,6.7,8.8,16.0,,3.1,2.8,5.9,.117,,0.2,0.8,1.0,1.8,lopezbr01
101,Bogdan Bogdanović,SG,31,ATL,79,2401,14.7,.569,.583,.149,2.3,10.3,6.2,14.9,1.9,1.0,8.7,22.3,,2.8,1.2,3.9,.079,,0.9,-0.7,0.2,1.4,bogdabo01
102,Jalen Green,SG,21,HOU,82,2601,14.7,.541,.454,.264,1.7,15.9,8.7,17.3,1.2,1.0,11.4,27.4,,0.2,2.9,3.1,.056,,0.4,-0.9,-0.5,1.0,greenja05
103,Tre Jones,PG,24,SAS,77,2138,14.7,.591,.318,.197,2.9,11.8,7.3,30.8,1.7,0.3,15.1,15.2,,3.4,1.6,4.9,.111,,-0.4,0.1,-0.4,0.9,jonestr01
104,Chris Paul,PG,38,GSW,58,1531,14.7,.544,.450,.111,1.3,14.4,7.9,33.4,2.2,0.4,13.4,15.6,,2.6,1.7,4.3,.136,,-0.2,1.2,1.0,1.2,paulch01
105,Precious Achiuwa,PF-C,24,TOT,74,1624,14.6,.545,.207,.239,13.0,20.5,16.7,8.4,1.4,3.9,13.8,15.9,,1.2,2.2,3.4,.102,,-1.7,0.3,-1.4,0.2,achiupr01
106,Cole Anthony,PG,23,ORL,81,1817,14.6,.545,.360,.286,4.1,16.1,10.1,19.8,1.7,1.9,12.8,23.7,,0.9,2.7,3.6,.096,,-0.6,0.7,0.1,1.0,anthoco01
107,Caris LeVert,SG,29,CLE,68,1958,14.6,.524,.405,.245,2.3,13.7,8.0,25.7,1.9,1.6,11.4,23.1,,1.0,2.6,3.6,.088,,-0.6,0.8,0.2,1.1,leverca01
108,Alex Caruso,SG,29,CHI,71,2040,14.5,.613,.616,.177,3.3,11.8,7.5,16.4,2.9,3.5,14.9,14.7,,2.3,2.6,4.9,.115,,0.2,2.3,2.5,2.3,carusal01
109,Darius Garland,PG,24,CLE,57,1901,14.5,.560,.423,.208,1.8,7.1,4.5,29.4,1.9,0.3,16.1,25.3,,0.7,2.0,2.7,.067,,0.2,-1.2,-1.0,0.5,garlada01
110,Cameron Johnson,PF,27,BRK,58,1599,14.5,.582,.570,.176,3.7,13.8,8.6,12.9,1.5,0.8,7.9,19.6,,2.0,1.3,3.3,.100,,0.9,-0.5,0.4,1.0,johnsca02
111,Coby White,PG,23,CHI,79,2881,14.5,.570,.460,.215,1.7,12.4,6.9,20.8,0.9,0.6,11.1,22.7,,3.1,1.6,4.7,.078,,0.7,-1.3,-0.7,0.9,whiteco01
112,Jrue Holiday,PG,33,BOS,69,2263,14.4,.597,.467,.104,4.2,13.2,8.9,19.3,1.3,2.1,14.7,16.3,,3.3,3.0,6.3,.133,,1.0,1.1,2.1,2.4,holidjr01
113,Zach Collins,C,26,SAS,69,1526,14.3,.565,.294,.263,8.3,18.0,13.1,18.9,1.1,2.8,16.1,22.7,,0.4,1.5,1.8,.057,,-2.0,-0.1,-2.0,0.0,colliza01
114,Keldon Johnson,SF,24,SAS,69,2038,14.2,.565,.426,.256,5.0,15.1,10.0,14.2,1.2,0.8,9.4,21.9,,1.5,1.5,3.0,.071,,-0.3,-1.4,-1.7,0.2,johnske04
115,Jalen Suggs,SG,22,ORL,75,2025,14.1,.602,.539,.218,2.8,10.6,6.6,15.0,2.6,2.2,14.4,19.7,,1.5,3.2,4.7,.112,,-0.6,1.6,1.0,1.5,suggsja01
116,Norman Powell,SG,30,LAC,76,1990,13.9,.626,.500,.224,0.9,9.8,5.5,5.9,1.1,1.0,7.3,20.0,,2.8,1.3,4.1,.099,,0.4,-1.2,-0.8,0.6,powelno01
117,Klay Thompson,SF,33,GSW,77,2284,13.9,.576,.611,.121,1.7,10.2,6.0,11.2,1.1,1.4,8.9,24.2,,1.8,1.7,3.6,.075,,1.1,-1.5,-0.4,0.9,thompkl01
118,Grayson Allen,SG,28,PHO,75,2513,13.8,.679,.652,.216,2.3,10.6,6.6,12.1,1.3,1.6,11.3,14.5,,4.7,2.2,6.9,.132,,1.1,0.1,1.3,2.0,allengr01
119,Jabari Smith Jr.,PF,20,HOU,76,2424,13.8,.571,.456,.222,6.1,21.3,13.6,7.1,1.0,2.3,8.9,17.6,,2.4,3.2,5.6,.111,,-0.5,0.1,-0.4,1.0,smithja05
120,Kelly Oubre Jr.,SF,28,PHI,68,2055,13.5,.535,.370,.264,5.0,13.5,9.2,7.3,1.8,2.1,8.2,22.4,,0.6,2.4,3.0,.070,,-1.5,-0.7,-2.3,-0.1,oubreke01
121,Ayo Dosunmu,SG,24,CHI,76,2212,13.4,.604,.410,.146,2.7,8.3,5.5,15.6,1.5,1.7,11.9,17.2,,2.6,1.5,4.1,.089,,-0.6,-0.2,-0.8,0.7,dosunay01
122,Buddy Hield,SF-SG,31,TOT,84,2160,13.3,.578,.668,.069,3.1,10.9,7.0,14.5,1.6,1.6,10.5,19.2,,1.9,1.6,3.5,.077,,1.0,-0.6,0.4,1.3,hieldbu01
123,Keegan Murray,SF,23,SAC,77,2588,13.3,.569,.524,.127,4.5,13.9,9.1,6.9,1.5,2.1,5.9,18.1,,2.6,2.6,5.2,.096,,-0.4,-0.5,-0.9,0.8,murrake02
